Date,Offence,Sum Value,year
2011-04-01,Historical Fraud and Forgery,1970,4022
2011-04-01,Miscellaneous Crimes Against Society,898,96528
2011-04-01,Possession of Weapons,701,24132
2011-04-01,Public Order Offences,3163,16088
2011-04-01,Robbery,3786,8044
2011-04-01,Sexual Offences,965,8044
2011-04-01,Theft,21694,16088
2011-04-01,Vehicle Offences,8983,16088
2011-04-01,Violence Against the Person,14285,12066
2011-05-01,Arson and Criminal Damage,7611,8044
2011-05-01,Burglary,9072,8044
2011-05-01,Drug Offences,9862,8044
2011-05-01,Historical Fraud and Forgery,2141,4022
2011-05-01,Miscellaneous Crimes Against Society,1002,96528
2011-05-01,Possession of Weapons,831,24132
2011-05-01,Public Order Offences,3424,16088
2011-05-01,Robbery,4414,8044
2011-05-01,Sexual Offences,1140,8044
2011-05-01,Theft,24677,16088
2011-05-01,Vehicle Offences,10084,16088
2011-05-01,Violence Against the Person,14954,12066
2011-06-01,Arson and Criminal Damage,7129,8044
2011-06-01,Burglary,8131,8044
2011-06-01,Drug Offences,10562,8044
2011-06-01,Historical Fraud and Forgery,2164,4022
2011-06-01,Miscellaneous Crimes Against Society,1122,96528
2011-06-01,Possession of Weapons,823,24132
2011-06-01,Public Order Offences,3479,16088
2011-06-01,Robbery,4007,8044
2011-06-01,Sexual Offences,1123,8044
2011-06-01,Theft,24220,16088
2011-06-01,Vehicle Offences,9615,16088
2011-06-01,Violence Against the Person,14793,12066
2011-07-01,Arson and Criminal Damage,7104,8044
2011-07-01,Burglary,8360,8044
2011-07-01,Drug Offences,11449,8044
2011-07-01,Historical Fraud and Forgery,2504,4022
2011-07-01,Miscellaneous Crimes Against Society,1159,96528
2011-07-01,Possession of Weapons,821,24132
2011-07-01,Public Order Offences,3459,16088
2011-07-01,Robbery,4116,8044
2011-07-01,Sexual Offences,1164,8044
2011-07-01,Theft,22982,16088
2011-07-01,Vehicle Offences,9637,16088
2011-07-01,Violence Against the Person,15210,12066
2011-08-01,Arson and Criminal Damage,8002,8044
2011-08-01,Burglary,9269,8044
2011-08-01,Drug Offences,10470,8044
2011-08-01,Historical Fraud and Forgery,2171,4022
2011-08-01,Miscellaneous Crimes Against Society,1424,96528
2011-08-01,Possession of Weapons,926,24132
2011-08-01,Public Order Offences,3725,16088
2011-08-01,Robbery,3675,8044
2011-08-01,Sexual Offences,961,8044
2011-08-01,Theft,20816,16088
2011-08-01,Vehicle Offences,8650,16088
2011-08-01,Violence Against the Person,13988,12066
2011-09-01,Arson and Criminal Damage,6465,8044
2011-09-01,Burglary,8104,8044
2011-09-01,Drug Offences,9952,8044
2011-09-01,Historical Fraud and Forgery,2052,4022
2011-09-01,Miscellaneous Crimes Against Society,1050,96528
2011-09-01,Possession of Weapons,751,24132
2011-09-01,Public Order Offences,3057,16088
2011-09-01,Robbery,3303,8044
2011-09-01,Sexual Offences,1089,8044
2011-09-01,Theft,20413,16088
2011-09-01,Vehicle Offences,9090,16088
2011-09-01,Violence Against the Person,13782,12066
2011-10-01,Arson and Criminal Damage,6621,8044
2011-10-01,Burglary,8714,8044
2011-10-01,Drug Offences,9207,8044
2011-10-01,Historical Fraud and Forgery,2235,4022
2011-10-01,Miscellaneous Crimes Against Society,1074,96528
2011-10-01,Possession of Weapons,736,24132
2011-10-01,Public Order Offences,3101,16088
2011-10-01,Robbery,3595,8044
2011-10-01,Sexual Offences,1071,8044
2011-10-01,Theft,22482,16088
2011-10-01,Vehicle Offences,9303,16088
2011-10-01,Violence Against the Person,14474,12066
2011-11-01,Arson and Criminal Damage,6490,8044
2011-11-01,Burglary,9281,8044
2011-11-01,Drug Offences,9818,8044
2011-11-01,Historical Fraud and Forgery,2459,4022
2011-11-01,Miscellaneous Crimes Against Society,1179,96528
2011-11-01,Possession of Weapons,762,24132
2011-11-01,Public Order Offences,3146,16088
2011-11-01,Robbery,3951,8044
2011-11-01,Sexual Offences,1090,8044
2011-11-01,Theft,23374,16088
2011-11-01,Vehicle Offences,8814,16088
2011-11-01,Violence Against the Person,13854,12066
2011-12-01,Arson and Criminal Damage,5988,8044
2011-12-01,Burglary,9361,8044
2011-12-01,Drug Offences,7850,8044
2011-12-01,Historical Fraud and Forgery,2339,4022
2011-12-01,Miscellaneous Crimes Against Society,938,96528
2011-12-01,Possession of Weapons,620,24132
2011-12-01,Public Order Offences,2634,16088
2011-12-01,Robbery,3323,8044
2011-12-01,Sexual Offences,876,8044
2011-12-01,Theft,21184,16088
2011-12-01,Vehicle Offences,7808,16088
2011-12-01,Violence Against the Person,12976,12066
2012-01-01,Arson and Criminal Damage,6297,8048
2012-01-01,Burglary,9530,8048
2012-01-01,Drug Offences,9864,8048
2012-01-01,Historical Fraud and Forgery,2431,4024
2012-01-01,Miscellaneous Crimes Against Society,947,96576
2012-01-01,Possession of Weapons,695,24144
2012-01-01,Public Order Offences,2872,16096
2012-01-01,Robbery,3456,8048
