Date,Offence,Sum Value,year
2014-09-01,Theft,18550,16112
2014-09-01,Vehicle Offences,7047,16112
2014-09-01,Violence Against the Person,17190,12084
2014-10-01,Arson and Criminal Damage,6065,8056
2014-10-01,Burglary,7048,8056
2014-10-01,Drug Offences,6996,8056
2014-10-01,Historical Fraud and Forgery,12,4028
2014-10-01,Miscellaneous Crimes Against Society,1309,96672
2014-10-01,Possession of Weapons,748,24168
2014-10-01,Public Order Offences,4508,16112
2014-10-01,Robbery,2216,8056
2014-10-01,Sexual Offences,1578,8056
2014-10-01,Theft,19323,16112
2014-10-01,Vehicle Offences,7616,16112
2014-10-01,Violence Against the Person,17588,12084
2014-11-01,Arson and Criminal Damage,5909,8056
2014-11-01,Burglary,7354,8056
2014-11-01,Drug Offences,6745,8056
2014-11-01,Historical Fraud and Forgery,8,4028
2014-11-01,Miscellaneous Crimes Against Society,1159,96672
2014-11-01,Possession of Weapons,650,24168
2014-11-01,Public Order Offences,4051,16112
2014-11-01,Robbery,2139,8056
2014-11-01,Sexual Offences,1410,8056
2014-11-01,Theft,18935,16112
2014-11-01,Vehicle Offences,7114,16112
2014-11-01,Violence Against the Person,17825,12084
2014-12-01,Arson and Criminal Damage,5668,8056
2014-12-01,Burglary,7245,8056
2014-12-01,Drug Offences,6452,8056
2014-12-01,Historical Fraud and Forgery,5,4028
2014-12-01,Miscellaneous Crimes Against Society,1164,96672
2014-12-01,Possession of Weapons,610,24168
2014-12-01,Public Order Offences,3910,16112
2014-12-01,Robbery,2096,8056
2014-12-01,Sexual Offences,1294,8056
2014-12-01,Theft,19104,16112
2014-12-01,Vehicle Offences,6664,16112
2014-12-01,Violence Against the Person,17441,12084
2015-01-01,Arson and Criminal Damage,5470,8060
2015-01-01,Burglary,6974,8060
2015-01-01,Drug Offences,6959,8060
2015-01-01,Historical Fraud and Forgery,1,4030
2015-01-01,Miscellaneous Crimes Against Society,1133,96720
2015-01-01,Possession of Weapons,665,24180
2015-01-01,Public Order Offences,3869,16120
2015-01-01,Robbery,2090,8060
2015-01-01,Sexual Offences,1420,8060
2015-01-01,Theft,18214,16120
2015-01-01,Vehicle Offences,7340,16120
2015-01-01,Violence Against the Person,17403,12090
2015-02-01,Arson and Criminal Damage,5224,8060
2015-02-01,Burglary,6430,8060
2015-02-01,Drug Offences,6645,8060
2015-02-01,Historical Fraud and Forgery,2,4030
2015-02-01,Miscellaneous Crimes Against Society,1167,96720
2015-02-01,Possession of Weapons,621,24180
2015-02-01,Public Order Offences,3856,16120
2015-02-01,Robbery,1882,8060
2015-02-01,Sexual Offences,1351,8060
2015-02-01,Theft,17212,16120
2015-02-01,Vehicle Offences,6306,16120
2015-02-01,Violence Against the Person,16344,12090
2015-03-01,Arson and Criminal Damage,6077,8060
2015-03-01,Burglary,6910,8060
2015-03-01,Drug Offences,6709,8060
2015-03-01,Historical Fraud and Forgery,0,4030
2015-03-01,Miscellaneous Crimes Against Society,1284,96720
2015-03-01,Possession of Weapons,772,24180
2015-03-01,Public Order Offences,4292,16120
2015-03-01,Robbery,2137,8060
2015-03-01,Sexual Offences,1642,8060
2015-03-01,Theft,19668,16120
2015-03-01,Vehicle Offences,7368,16120
2015-03-01,Violence Against the Person,18551,12090
2015-04-01,Arson and Criminal Damage,5864,8060
2015-04-01,Burglary,5810,8060
2015-04-01,Drug Offences,5732,8060
2015-04-01,Historical Fraud and Forgery,1,4030
2015-04-01,Miscellaneous Crimes Against Society,1141,96720
2015-04-01,Possession of Weapons,694,24180
2015-04-01,Public Order Offences,4146,16120
2015-04-01,Robbery,1999,8060
2015-04-01,Sexual Offences,1351,8060
2015-04-01,Theft,18516,16120
2015-04-01,Vehicle Offences,6847,16120
2015-04-01,Violence Against the Person,16808,12090
2015-05-01,Arson and Criminal Damage,6035,8060
2015-05-01,Burglary,5935,8060
2015-05-01,Drug Offences,5645,8060
2015-05-01,Historical Fraud and Forgery,0,4030
2015-05-01,Miscellaneous Crimes Against Society,1140,96720
2015-05-01,Possession of Weapons,688,24180
2015-05-01,Public Order Offences,4291,16120
2015-05-01,Robbery,2079,8060
2015-05-01,Sexual Offences,1567,8060
2015-05-01,Theft,19628,16120
2015-05-01,Vehicle Offences,7299,16120
2015-05-01,Violence Against the Person,19048,12090
2015-06-01,Arson and Criminal Damage,6115,8060
2015-06-01,Burglary,5796,8060
2015-06-01,Drug Offences,6275,8060
2015-06-01,Historical Fraud and Forgery,2,4030
2015-06-01,Miscellaneous Crimes Against Society,1207,96720
2015-06-01,Possession of Weapons,803,24180
2015-06-01,Public Order Offences,4717,16120
2015-06-01,Robbery,2007,8060
2015-06-01,Sexual Offences,1544,8060
2015-06-01,Theft,19329,16120
2015-06-01,Vehicle Offences,7649,16120
2015-06-01,Violence Against the Person,19518,12090
2015-07-01,Arson and Criminal Damage,6305,8060
2015-07-01,Burglary,5864,8060
2015-07-01,Drug Offences,6749,8060
2015-07-01,Historical Fraud and Forgery,2,4030
2015-07-01,Miscellaneous Crimes Against Society,1295,96720
2015-07-01,Possession of Weapons,801,24180
2015-07-01,Public Order Offences,4868,16120
2015-07-01,Robbery,2034,8060
2015-07-01,Sexual Offences,1709,8060
2015-07-01,Theft,19758,16120
2015-07-01,Vehicle Offences,6992,16120
2015-07-01,Violence Against the Person,20306,12090
2015-08-01,Arson and Criminal Damage,5700,8060
2015-08-01,Burglary,5768,8060
2015-08-01,Drug Offences,6265,8060
2015-08-01,Historical Fraud and Forgery,5,4030
2015-08-01,Miscellaneous Crimes Against Society,1162,96720
2015-08-01,Possession of Weapons,782,24180
2015-08-01,Public Order Offences,4462,16120
2015-08-01,Robbery,1961,8060
2015-08-01,Sexual Offences,1498,8060
2015-08-01,Theft,17895,16120
2015-08-01,Vehicle Offences,6828,16120
2015-08-01,Violence Against the Person,18618,12090
2015-09-01,Arson and Criminal Damage,5525,8060
2015-09-01,Burglary,5797,8060
2015-09-01,Drug Offences,6906,8060
2015-09-01,Historical Fraud and Forgery,0,4030
2015-09-01,Miscellaneous Crimes Against Society,1366,96720
2015-09-01,Possession of Weapons,850,24180
2015-09-01,Public Order Offences,4622,16120
2015-09-01,Robbery,2002,8060
2015-09-01,Sexual Offences,1478,8060
2015-09-01,Theft,17826,16120
2015-09-01,Vehicle Offences,6901,16120
2015-09-01,Violence Against the Person,18879,12090
2015-10-01,Arson and Criminal Damage,5992,8060
2015-10-01,Burglary,6416,8060
2015-10-01,Drug Offences,6999,8060
2015-10-01,Historical Fraud and Forgery,3,4030
2015-10-01,Miscellaneous Crimes Against Society,1418,96720
2015-10-01,Possession of Weapons,841,24180
2015-10-01,Public Order Offences,4689,16120
2015-10-01,Robbery,2014,8060
2015-10-01,Sexual Offences,1587,8060
2015-10-01,Theft,19347,16120
2015-10-01,Vehicle Offences,7400,16120
2015-10-01,Violence Against the Person,20074,12090
2015-11-01,Arson and Criminal Damage,5991,8060
2015-11-01,Burglary,7253,8060
2015-11-01,Drug Offences,6294,8060
2015-11-01,Historical Fraud and Forgery,2,4030
2015-11-01,Miscellaneous Crimes Against Society,1278,96720
2015-11-01,Possession of Weapons,778,24180
2015-11-01,Public Order Offences,4565,16120
2015-11-01,Robbery,2110,8060
2015-11-01,Sexual Offences,1676,8060
2015-11-01,Theft,19156,16120
2015-11-01,Vehicle Offences,7754,16120
2015-11-01,Violence Against the Person,19326,12090
2015-12-01,Arson and Criminal Damage,5958,8060
2015-12-01,Burglary,6881,8060
2015-12-01,Drug Offences,5775,8060
2015-12-01,Historical Fraud and Forgery,0,4030
2015-12-01,Miscellaneous Crimes Against Society,1169,96720
2015-12-01,Possession of Weapons,694,24180
2015-12-01,Public Order Offences,4368,16120
2015-12-01,Robbery,1969,8060
2015-12-01,Sexual Offences,1500,8060
2015-12-01,Theft,18858,16120
2015-12-01,Vehicle Offences,7211,16120
2015-12-01,Violence Against the Person,19557,12090
2016-01-01,Arson and Criminal Damage,5661,8064
2016-01-01,Burglary,6677,8064
2016-01-01,Drug Offences,7337,8064
2016-01-01,Historical Fraud and Forgery,1,4032
2016-01-01,Miscellaneous Crimes Against Society,1238,96768
2016-01-01,Possession of Weapons,786,24192
2016-01-01,Public Order Offences,4112,16128
2016-01-01,Robbery,2025,8064
2016-01-01,Sexual Offences,1573,8064
2016-01-01,Theft,17406,16128
2016-01-01,Vehicle Offences,7083,16128
2016-01-01,Violence Against the Person,18826,12096
2016-02-01,Arson and Criminal Damage,5610,8064
2016-02-01,Burglary,6239,8064
2016-02-01,Drug Offences,6448,8064
2016-02-01,Historical Fraud and Forgery,0,4032
2016-02-01,Miscellaneous Crimes Against Society,1329,96768
2016-02-01,Possession of Weapons,750,24192
2016-02-01,Public Order Offences,4073,16128
2016-02-01,Robbery,1867,8064
2016-02-01,Sexual Offences,1611,8064
2016-02-01,Theft,17517,16128
2016-02-01,Vehicle Offences,6752,16128
2016-02-01,Violence Against the Person,18207,12096
2016-03-01,Arson and Criminal Damage,5676,8064
2016-03-01,Burglary,6335,8064
2016-03-01,Drug Offences,6565,8064
2016-03-01,Historical Fraud and Forgery,2,4032
2016-03-01,Miscellaneous Crimes Against Society,1381,96768
2016-03-01,Possession of Weapons,783,24192
2016-03-01,Public Order Offences,4412,16128
2016-03-01,Robbery,1948,8064
2016-03-01,Sexual Offences,1806,8064
2016-03-01,Theft,18135,16128
2016-03-01,Vehicle Offences,7343,16128
2016-03-01,Violence Against the Person,19255,12096
2016-04-01,Arson and Criminal Damage,5636,8064
2016-04-01,Burglary,5619,8064
2016-04-01,Drug Offences,6052,8064
2016-04-01,Historical Fraud and Forgery,0,4032
2016-04-01,Miscellaneous Crimes Against Society,1325,96768
2016-04-01,Possession of Weapons,764,24192
2016-04-01,Public Order Offences,4121,16128
2016-04-01,Robbery,1738,8064
2016-04-01,Sexual Offences,1549,8064
2016-04-01,Theft,18029,16128
2016-04-01,Vehicle Offences,7091,16128
2016-04-01,Violence Against the Person,18334,12096
2016-05-01,Arson and Criminal Damage,6443,8064
2016-05-01,Burglary,5781,8064
2016-05-01,Drug Offences,6406,8064
2016-05-01,Historical Fraud and Forgery,2,4032
2016-05-01,Miscellaneous Crimes Against Society,1469,96768
2016-05-01,Possession of Weapons,851,24192
2016-05-01,Public Order Offences,4711,16128
2016-05-01,Robbery,1967,8064
2016-05-01,Sexual Offences,1753,8064
2016-05-01,Theft,19418,16128
2016-05-01,Vehicle Offences,8020,16128
2016-05-01,Violence Against the Person,20287,12096
2016-06-01,Arson and Criminal Damage,5939,8064
2016-06-01,Burglary,5756,8064
2016-06-01,Drug Offences,6450,8064
2016-06-01,Historical Fraud and Forgery,0,4032
2016-06-01,Miscellaneous Crimes Against Society,1410,96768
2016-06-01,Possession of Weapons,1063,24192
2016-06-01,Public Order Offences,5082,16128
2016-06-01,Robbery,2121,8064
2016-06-01,Sexual Offences,1731,8064
2016-06-01,Theft,19291,16128
2016-06-01,Vehicle Offences,7782,16128
2016-06-01,Violence Against the Person,20449,12096
2016-07-01,Arson and Criminal Damage,6279,8064
2016-07-01,Burglary,5778,8064
2016-07-01,Drug Offences,6735,8064
2016-07-01,Historical Fraud and Forgery,0,4032
2016-07-01,Miscellaneous Crimes Against Society,1353,96768
2016-07-01,Possession of Weapons,1006,24192
2016-07-01,Public Order Offences,5691,16128
2016-07-01,Robbery,2217,8064
2016-07-01,Sexual Offences,1850,8064
2016-07-01,Theft,20180,16128
2016-07-01,Vehicle Offences,7847,16128
2016-07-01,Violence Against the Person,20663,12096
2016-08-01,Arson and Criminal Damage,6139,8064
2016-08-01,Burglary,5774,8064
2016-08-01,Drug Offences,6467,8064
2016-08-01,Historical Fraud and Forgery,1,4032
2016-08-01,Miscellaneous Crimes Against Society,1265,96768
2016-08-01,Possession of Weapons,950,24192
2016-08-01,Public Order Offences,5009,16128
2016-08-01,Robbery,2116,8064
2016-08-01,Sexual Offences,1636,8064
2016-08-01,Theft,19403,16128
2016-08-01,Vehicle Offences,7653,16128
2016-08-01,Violence Against the Person,19190,12096
2016-09-01,Arson and Criminal Damage,5778,8064
2016-09-01,Burglary,5740,8064
2016-09-01,Drug Offences,6698,8064
2016-09-01,Historical Fraud and Forgery,2,4032
2016-09-01,Miscellaneous Crimes Against Society,1301,96768
2016-09-01,Possession of Weapons,930,24192
2016-09-01,Public Order Offences,4772,16128
2016-09-01,Robbery,2184,8064
2016-09-01,Sexual Offences,1718,8064
2016-09-01,Theft,18952,16128
2016-09-01,Vehicle Offences,8033,16128
2016-09-01,Violence Against the Person,19236,12096
2016-10-01,Arson and Criminal Damage,5970,8064
2016-10-01,Burglary,5900,8064
2016-10-01,Drug Offences,6777,8064
2016-10-01,Historical Fraud and Forgery,1,4032
2016-10-01,Miscellaneous Crimes Against Society,1419,96768
2016-10-01,Possession of Weapons,978,24192
2016-10-01,Public Order Offences,4728,16128
2016-10-01,Robbery,2263,8064
2016-10-01,Sexual Offences,1701,8064
2016-10-01,Theft,19643,16128
2016-10-01,Vehicle Offences,8598,16128
2016-10-01,Violence Against the Person,19291,12096
2016-11-01,Arson and Criminal Damage,5604,8064
2016-11-01,Burglary,6479,8064
2016-11-01,Drug Offences,5927,8064
2016-11-01,Historical Fraud and Forgery,4,4032
2016-11-01,Miscellaneous Crimes Against Society,1343,96768
2016-11-01,Possession of Weapons,833,24192
2016-11-01,Public Order Offences,4249,16128
2016-11-01,Robbery,2190,8064
2016-11-01,Sexual Offences,1617,8064
2016-11-01,Theft,19106,16128
2016-11-01,Vehicle Offences,8308,16128
2016-11-01,Violence Against the Person,18278,12096
2016-12-01,Arson and Criminal Damage,5776,8064
2016-12-01,Burglary,6954,8064
2016-12-01,Drug Offences,5346,8064
2016-12-01,Historical Fraud and Forgery,0,4032
2016-12-01,Miscellaneous Crimes Against Society,1248,96768
2016-12-01,Possession of Weapons,775,24192
2016-12-01,Public Order Offences,4220,16128
2016-12-01,Robbery,2441,8064
2016-12-01,Sexual Offences,1642,8064
2016-12-01,Theft,19416,16128
2016-12-01,Vehicle Offences,8168,16128
2016-12-01,Violence Against the Person,18794,12096
2017-01-01,Arson and Criminal Damage,5576,8068
2017-01-01,Burglary,7049,8068
2017-01-01,Drug Offences,6104,8068
2017-01-01,Historical Fraud and Forgery,2,4034
2017-01-01,Miscellaneous Crimes Against Society,1402,96816
2017-01-01,Possession of Weapons,909,24204
2017-01-01,Public Order Offences,4118,16136
2017-01-01,Robbery,2268,8068
2017-01-01,Sexual Offences,1588,8068
2017-01-01,Theft,17888,16136
2017-01-01,Vehicle Offences,8159,16136
2017-01-01,Violence Against the Person,18517,12102
2017-02-01,Arson and Criminal Damage,5395,8068
2017-02-01,Burglary,6497,8068
2017-02-01,Drug Offences,5173,8068
2017-02-01,Historical Fraud and Forgery,1,4034
2017-02-01,Miscellaneous Crimes Against Society,1311,96816
2017-02-01,Possession of Weapons,862,24204
2017-02-01,Public Order Offences,4054,16136
2017-02-01,Robbery,2144,8068
2017-02-01,Sexual Offences,1579,8068
2017-02-01,Theft,17788,16136
2017-02-01,Vehicle Offences,7752,16136
2017-02-01,Violence Against the Person,17612,12102
2017-03-01,Arson and Criminal Damage,6000,8068
2017-03-01,Burglary,6803,8068
2017-03-01,Drug Offences,6649,8068
2017-03-01,Historical Fraud and Forgery,0,4034
2017-03-01,Miscellaneous Crimes Against Society,1461,96816
2017-03-01,Possession of Weapons,1122,24204
2017-03-01,Public Order Offences,5019,16136
2017-03-01,Robbery,2762,8068
2017-03-01,Sexual Offences,1942,8068
2017-03-01,Theft,20740,16136
2017-03-01,Vehicle Offences,9261,16136
2017-03-01,Violence Against the Person,20675,12102
2017-04-01,Arson and Criminal Damage,5681,8068
2017-04-01,Burglary,6115,8068
2017-04-01,Drug Offences,5344,8068
2017-04-01,Historical Fraud and Forgery,0,4034
2017-04-01,Miscellaneous Crimes Against Society,1136,96816
2017-04-01,Possession of Weapons,999,24204
2017-04-01,Public Order Offences,4444,16136
2017-04-01,Robbery,2674,8068
2017-04-01,Sexual Offences,1613,8068
2017-04-01,Theft,19125,16136
2017-04-01,Vehicle Offences,8792,16136
2017-04-01,Violence Against the Person,18645,12102
2017-05-01,Arson and Criminal Damage,6128,8068
2017-05-01,Burglary,6186,8068
2017-05-01,Drug Offences,6046,8068
2017-05-01,Historical Fraud and Forgery,0,4034
2017-05-01,Miscellaneous Crimes Against Society,1344,96816
2017-05-01,Possession of Weapons,1254,24204
2017-05-01,Public Order Offences,5092,16136
2017-05-01,Robbery,2655,8068
2017-05-01,Sexual Offences,1971,8068
2017-05-01,Theft,21073,16136
2017-05-01,Vehicle Offences,9443,16136
2017-05-01,Violence Against the Person,20646,12102
2017-06-01,Arson and Criminal Damage,5866,8068
2017-06-01,Burglary,6066,8068
2017-06-01,Drug Offences,5404,8068
2017-06-01,Historical Fraud and Forgery,0,4034
2017-06-01,Miscellaneous Crimes Against Society,1240,96816
2017-06-01,Possession of Weapons,1155,24204
2017-06-01,Public Order Offences,5626,16136
2017-06-01,Robbery,2692,8068
2017-06-01,Sexual Offences,2044,8068
2017-06-01,Theft,20064,16136
2017-06-01,Vehicle Offences,8613,16136
2017-06-01,Violence Against the Person,20775,12102
2017-07-01,Arson and Criminal Damage,6019,8068
2017-07-01,Burglary,6624,8068
2017-07-01,Drug Offences,6085,8068
2017-07-01,Historical Fraud and Forgery,0,4034
2017-07-01,Miscellaneous Crimes Against Society,1368,96816
2017-07-01,Possession of Weapons,1161,24204
2017-07-01,Public Order Offences,5625,16136
2017-07-01,Robbery,3137,8068
2017-07-01,Sexual Offences,1981,8068
2017-07-01,Theft,21720,16136
2017-07-01,Vehicle Offences,8837,16136
2017-07-01,Violence Against the Person,21053,12102
2017-08-01,Arson and Criminal Damage,5674,8068
2017-08-01,Burglary,6644,8068
2017-08-01,Drug Offences,5971,8068
2017-08-01,Historical Fraud and Forgery,0,4034
2017-08-01,Miscellaneous Crimes Against Society,1330,96816
2017-08-01,Possession of Weapons,1178,24204
2017-08-01,Public Order Offences,4789,16136
2017-08-01,Robbery,2888,8068
2017-08-01,Sexual Offences,2088,8068
2017-08-01,Theft,21228,16136
2017-08-01,Vehicle Offences,8860,16136
2017-08-01,Violence Against the Person,18733,12102
2017-09-01,Arson and Criminal Damage,5431,8068
2017-09-01,Burglary,6476,8068
2017-09-01,Drug Offences,6024,8068
2017-09-01,Historical Fraud and Forgery,0,4034
2017-09-01,Miscellaneous Crimes Against Society,1320,96816
2017-09-01,Possession of Weapons,1044,24204
2017-09-01,Public Order Offences,4560,16136
2017-09-01,Robbery,2951,8068
2017-09-01,Sexual Offences,1878,8068
2017-09-01,Theft,19753,16136
2017-09-01,Vehicle Offences,9149,16136
2017-09-01,Violence Against the Person,18932,12102
2017-10-01,Arson and Criminal Damage,5959,8068
2017-10-01,Burglary,7127,8068
2017-10-01,Drug Offences,6505,8068
2017-10-01,Historical Fraud and Forgery,0,4034
2017-10-01,Miscellaneous Crimes Against Society,1435,96816
2017-10-01,Possession of Weapons,1171,24204
2017-10-01,Public Order Offences,5065,16136
2017-10-01,Robbery,3250,8068
2017-10-01,Sexual Offences,2027,8068
2017-10-01,Theft,20425,16136
2017-10-01,Vehicle Offences,9490,16136
2017-10-01,Violence Against the Person,20791,12102
2017-11-01,Arson and Criminal Damage,5648,8068
2017-11-01,Burglary,7683,8068
2017-11-01,Drug Offences,6041,8068
2017-11-01,Historical Fraud and Forgery,1,4034
2017-11-01,Miscellaneous Crimes Against Society,1349,96816
2017-11-01,Possession of Weapons,1034,24204
2017-11-01,Public Order Offences,4649,16136
2017-11-01,Robbery,3329,8068
2017-11-01,Sexual Offences,2038,8068
2017-11-01,Theft,20385,16136
2017-11-01,Vehicle Offences,9496,16136
2017-11-01,Violence Against the Person,19594,12102
2017-12-01,Arson and Criminal Damage,5205,8068
2017-12-01,Burglary,7336,8068
2017-12-01,Drug Offences,5093,8068
2017-12-01,Historical Fraud and Forgery,0,4034
2017-12-01,Miscellaneous Crimes Against Society,1116,96816
2017-12-01,Possession of Weapons,872,24204
2017-12-01,Public Order Offences,3914,16136
2017-12-01,Robbery,3019,8068
2017-12-01,Sexual Offences,1649,8068
2017-12-01,Theft,18698,16136
2017-12-01,Vehicle Offences,8751,16136
2017-12-01,Violence Against the Person,18882,12102
2018-01-01,Arson and Criminal Damage,5505,8072
2018-01-01,Burglary,8047,8072
2018-01-01,Drug Offences,6050,8072
2018-01-01,Historical Fraud and Forgery,0,4036
2018-01-01,Miscellaneous Crimes Against Society,1332,96864
2018-01-01,Possession of Weapons,1049,24216
2018-01-01,Public Order Offences,4152,16144
2018-01-01,Robbery,3159,8072
2018-01-01,Sexual Offences,1800,8072
2018-01-01,Theft,18679,16144
2018-01-01,Vehicle Offences,9715,16144
2018-01-01,Violence Against the Person,19383,12108
2018-02-01,Arson and Criminal Damage,4652,8072
2018-02-01,Burglary,6941,8072
2018-02-01,Drug Offences,5303,8072
2018-02-01,Historical Fraud and Forgery,0,4036
2018-02-01,Miscellaneous Crimes Against Society,1140,96864
2018-02-01,Possession of Weapons,922,24216
2018-02-01,Public Order Offences,3866,16144
2018-02-01,Robbery,2704,8072
2018-02-01,Sexual Offences,1625,8072
2018-02-01,Theft,17283,16144
2018-02-01,Vehicle Offences,8968,16144
2018-02-01,Violence Against the Person,17087,12108
2018-03-01,Arson and Criminal Damage,4940,8072
2018-03-01,Burglary,6603,8072
2018-03-01,Drug Offences,4938,8072
2018-03-01,Historical Fraud and Forgery,0,4036
2018-03-01,Miscellaneous Crimes Against Society,1216,96864
2018-03-01,Possession of Weapons,990,24216
2018-03-01,Public Order Offences,4451,16144
2018-03-01,Robbery,2775,8072
2018-03-01,Sexual Offences,1791,8072
2018-03-01,Theft,18125,16144
2018-03-01,Vehicle Offences,9122,16144
2018-03-01,Violence Against the Person,19161,12108
2018-04-01,Arson and Criminal Damage,5203,8072
2018-04-01,Burglary,6689,8072
2018-04-01,Drug Offences,5141,8072
2018-04-01,Historical Fraud and Forgery,0,4036
2018-04-01,Miscellaneous Crimes Against Society,1168,96864
2018-04-01,Possession of Weapons,1049,24216
2018-04-01,Public Order Offences,4458,16144
2018-04-01,Robbery,2732,8072
2018-04-01,Sexual Offences,1713,8072
2018-04-01,Theft,18293,16144
2018-04-01,Vehicle Offences,9069,16144
2018-04-01,Violence Against the Person,18794,12108
2018-05-01,Arson and Criminal Damage,5352,8072
2018-05-01,Burglary,6674,8072
2018-05-01,Drug Offences,4739,8072
2018-05-01,Historical Fraud and Forgery,1,4036
2018-05-01,Miscellaneous Crimes Against Society,1286,96864
2018-05-01,Possession of Weapons,1086,24216
2018-05-01,Public Order Offences,4842,16144
2018-05-01,Robbery,2745,8072
2018-05-01,Sexual Offences,1907,8072
2018-05-01,Theft,19143,16144
2018-05-01,Vehicle Offences,8989,16144
2018-05-01,Violence Against the Person,20896,12108
2018-06-01,Arson and Criminal Damage,5223,8072
2018-06-01,Burglary,6405,8072
2018-06-01,Drug Offences,4217,8072
2018-06-01,Historical Fraud and Forgery,0,4036
2018-06-01,Miscellaneous Crimes Against Society,1174,96864
2018-06-01,Possession of Weapons,1047,24216
2018-06-01,Public Order Offences,4906,16144
2018-06-01,Robbery,3078,8072
2018-06-01,Sexual Offences,1976,8072
2018-06-01,Theft,19073,16144
2018-06-01,Vehicle Offences,9171,16144
2018-06-01,Violence Against the Person,21275,12108
2018-07-01,Arson and Criminal Damage,5426,8072
2018-07-01,Burglary,6615,8072
2018-07-01,Drug Offences,4206,8072
2018-07-01,Historical Fraud and Forgery,0,4036
2018-07-01,Miscellaneous Crimes Against Society,1179,96864
2018-07-01,Possession of Weapons,1057,24216
2018-07-01,Public Order Offences,5546,16144
2018-07-01,Robbery,3114,8072
2018-07-01,Sexual Offences,2152,8072
2018-07-01,Theft,20564,16144
2018-07-01,Vehicle Offences,9225,16144
2018-07-01,Violence Against the Person,22569,12108
2018-08-01,Arson and Criminal Damage,4963,8072
2018-08-01,Burglary,6868,8072
2018-08-01,Drug Offences,4904,8072
2018-08-01,Historical Fraud and Forgery,0,4036
2018-08-01,Miscellaneous Crimes Against Society,1121,96864
2018-08-01,Possession of Weapons,1048,24216
2018-08-01,Public Order Offences,4455,16144
2018-08-01,Robbery,2718,8072
2018-08-01,Sexual Offences,1763,8072
2018-08-01,Theft,19220,16144
2018-08-01,Vehicle Offences,9365,16144
2018-08-01,Violence Against the Person,19501,12108
2018-09-01,Arson and Criminal Damage,4824,8072
2018-09-01,Burglary,6435,8072
2018-09-01,Drug Offences,4424,8072
2018-09-01,Historical Fraud and Forgery,0,4036
2018-09-01,Miscellaneous Crimes Against Society,1225,96864
2018-09-01,Possession of Weapons,979,24216
2018-09-01,Public Order Offences,4533,16144
2018-09-01,Robbery,2813,8072
2018-09-01,Sexual Offences,1837,8072
2018-09-01,Theft,18839,16144
2018-09-01,Vehicle Offences,9955,16144
2018-09-01,Violence Against the Person,19472,12108
2018-10-01,Arson and Criminal Damage,5342,8072
2018-10-01,Burglary,7493,8072
2018-10-01,Drug Offences,5237,8072
2018-10-01,Historical Fraud and Forgery,0,4036
2018-10-01,Miscellaneous Crimes Against Society,1271,96864
2018-10-01,Possession of Weapons,1032,24216
2018-10-01,Public Order Offences,4852,16144
2018-10-01,Robbery,3136,8072
2018-10-01,Sexual Offences,1901,8072
2018-10-01,Theft,20989,16144
2018-10-01,Vehicle Offences,10696,16144
2018-10-01,Violence Against the Person,20829,12108
2018-11-01,Arson and Criminal Damage,5069,8072
2018-11-01,Burglary,8245,8072
2018-11-01,Drug Offences,5032,8072
2018-11-01,Historical Fraud and Forgery,1,4036
2018-11-01,Miscellaneous Crimes Against Society,1230,96864
2018-11-01,Possession of Weapons,1026,24216
2018-11-01,Public Order Offences,4476,16144
2018-11-01,Robbery,3192,8072
2018-11-01,Sexual Offences,1832,8072
2018-11-01,Theft,20750,16144
2018-11-01,Vehicle Offences,10660,16144
2018-11-01,Violence Against the Person,19678,12108
2018-12-01,Arson and Criminal Damage,5053,8072
2018-12-01,Burglary,7443,8072
2018-12-01,Drug Offences,4553,8072
2018-12-01,Historical Fraud and Forgery,0,4036
2018-12-01,Miscellaneous Crimes Against Society,1006,96864
2018-12-01,Possession of Weapons,941,24216
2018-12-01,Public Order Offences,4124,16144
2018-12-01,Robbery,3154,8072
2018-12-01,Sexual Offences,1559,8072
2018-12-01,Theft,20176,16144
2018-12-01,Vehicle Offences,9749,16144
2018-12-01,Violence Against the Person,19874,12108
2019-01-01,Arson and Criminal Damage,4961,8076
2019-01-01,Burglary,7816,8076
2019-01-01,Drug Offences,5401,8076
2019-01-01,Historical Fraud and Forgery,0,4038
2019-01-01,Miscellaneous Crimes Against Society,1149,96912
2019-01-01,Possession of Weapons,1076,24228
2019-01-01,Public Order Offences,4096,16152
2019-01-01,Robbery,3177,8076
2019-01-01,Sexual Offences,1800,8076
2019-01-01,Theft,19890,16152
2019-01-01,Vehicle Offences,11051,16152
2019-01-01,Violence Against the Person,19691,12114
2019-02-01,Arson and Criminal Damage,4738,8076
2019-02-01,Burglary,7018,8076
2019-02-01,Drug Offences,4930,8076
2019-02-01,Historical Fraud and Forgery,0,4038
2019-02-01,Miscellaneous Crimes Against Society,1139,96912
2019-02-01,Possession of Weapons,1016,24228
2019-02-01,Public Order Offences,4104,16152
2019-02-01,Robbery,3152,8076
2019-02-01,Sexual Offences,1648,8076
2019-02-01,Theft,20525,16152
2019-02-01,Vehicle Offences,9800,16152
2019-02-01,Violence Against the Person,18803,12114
2019-03-01,Arson and Criminal Damage,5297,8076
2019-03-01,Burglary,7523,8076
2019-03-01,Drug Offences,6021,8076
2019-03-01,Historical Fraud and Forgery,0,4038
2019-03-01,Miscellaneous Crimes Against Society,1220,96912
2019-03-01,Possession of Weapons,1216,24228
2019-03-01,Public Order Offences,4880,16152
